,CASEID,SURV_LANG,FITIN,FRIEND1,FRIEND2,FRIEND3,FRIEND4_1,FRIEND4_2,FRIEND4_3,FRIEND4_4,FRIEND4_5,FRIEND4_6,FRIEND5,FRIEND6_1,FRIEND6_2,FRIEND6_3,FRIEND6_4,FRIEND6_5,FRIEND6_6,FRIEND6_7,DEVICEA,DEVICEB,DEVICEC,DEVICED,HOMEWORKA,HOMEWORKB,HOMEWORKC,INTREQ,GAMING,SNS1_1,SNS1_2,SNS1_3,SNS1_4,SNS1_5,SNS1_6,SNS1_7,SNS1_8,SNS2,SOC1,SOC1A_GOOD_1,SOC1A_GOOD_2,SOC1A_GOOD_3,SOC1A_GOOD_4,SOC1A_GOOD_5,SOC1A_GOOD_6,SOC1A_GOOD_7,SOC1A_BAD_1,SOC1A_BAD_2,SOC1A_BAD_3,SOC1A_BAD_4,SOC1A_BAD_5,SOC1A_BAD_6,SOC1A_BAD_7,SOC1A_OTHER,SOC1A_DK_REF,POST1A,POST1B,POST1C,POST1D,POST1E,POST2_1,POST2_2,POST2_3,POST2_4,POST2_5,POST2_6,POST2_7,POST2_8,SOC2POSA,SOC2POSB,SOC2POSC,SOC2POSD,SOC2NEGA,SOC2NEGB,SOC2NEGC,SOC2NEGD,SOC4A,SOC4B,SOC4C,SOC4D,SOC5A,SOC5B,SOC5C,SOC6,SOC7_1,SOC7_2,SOC7_3,SOC7_4,SOC7_5,SOC7_6,SOCEXPA,SOCEXPB,SOCEXPC,SOCEXPD,WORRYA,WORRYB,WORRYC,LIMITA,LIMITB,LIMITC,CELL1_1,CELL1_2,CELL1_3,CELL1_4,CELL1_5,CELL1_6,CELL2A,CELL2B,CELL2C,CELL2D,CELL3A,CELL3B,CELL3C,DISTRACT,GROUP1,GROUP2_1,GROUP2_2,GROUP2_3,GROUP2_4,GROUP2_5,GROUP2_6,GROUP2_7,GROUP2_8,GROUP2_9,GROUP2_10,GROUP2_11,GROUP3A,GROUP3B,GROUP3C,GROUP3D,OH1A,OH1B,OH1C,OH1D,OH2A,OH2B,OH2C,OH2D,OH2E,OH2F,OH3_1,OH3_2,OH3_3,OH3_4,OH3_5,OH3_6,OH3_7,GUN1,GUN2A,GUN2B,GUN2C,GUN2D,GUN2E,GENDER,AGE,P_EDUC,RACETHNICITY,HOME_TYPE,HOUSING,INCOME,INTERNET,PHONESERVICE,METRO,REGION4,HHSIZE,HH01,HH25,HH612,HH1317,HH18OV,CO_DATE,DURATION,SURV_MODE,MODE_END,DEVICE,WEIGHT
346,1356,,2,2,1,3,1,0,0,1,1,0,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,2,1,1,4,2,3,1,1,0,1,1,1,1,0,0,0,5.0,3,,,,,,,,,,,,,,,,,3,4.0,3.0,3.0,3.0,0,0,0,0,0,0,0,1,2,2,3,2,2,2,2.0,3,1.0,2.0,1.0,1.0,3,2,4,4,,,,,,,2,3,2,3,1,3,1,1,2,1.0,1,1,0,0,0,0,3,4,2,3,3.0,2.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2,2,1,1,2,2,2,3,2,2,1,0,1,0,0,0,0,2,2,4,4,3,2,1.0,16,13.0,1.0,3,2,9,1,4,1,3,4,0,0,0,1,3,20180322,13.55,2,2,,0.31398466
347,1359,,1,2,1,2,0,1,0,0,0,0,2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,2,2,1,4,4,4,1,1,1,1,1,1,1,0,0,0,4.0,2,,,,,,,,,,,,,,,98.0,,1,1.0,1.0,1.0,1.0,0,0,0,1,1,1,1,0,2,1,1,2,1,1,1.0,1,2.0,2.0,1.0,2.0,4,2,2,2,1.0,0.0,0.0,1.0,0.0,0.0,2,4,2,2,3,3,3,2,2,2.0,1,0,1,0,1,0,1,2,1,1,2.0,2.0,2.0,1.0,4.0,,,,,,,,,,,,,,,,1,1,1,1,4,4,4,2,4,4,0,0,0,0,0,0,1,1,4,3,4,2,2,2.0,15,13.0,1.0,1,2,10,1,4,1,2,6,0,2,2,3,2,20180308,9.75,2,2,,0.372898551
348,1360,,2,4,2,3,0,0,1,0,0,0,4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,2,1,1,4,4,4,1,1,0,0,0,0,1,0,0,0,,3,,,,,,,,,,,,,,,,,3,3.0,3.0,4.0,2.0,0,0,0,0,0,0,0,1,3,2,3,2,3,3,3.0,3,1.0,2.0,2.0,2.0,4,3,4,3,,,,,,,77,1,2,3,3,2,1,2,1,2.0,0,0,1,0,1,0,3,1,1,1,1.0,3.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,1,3,2,1,2,4,4,3,4,4,0,1,1,0,0,0,0,2,1,1,3,2,1,1.0,14,12.0,2.0,3,2,9,1,3,1,3,6,1,1,2,0,2,20180408,20.51666667,2,2,,0.322000531
349,1361,,2,4,1,2,0,0,0,0,0,1,2,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,2,1,1,4,4,4,2,1,1,0,0,0,0,0,0,0,,1,,1.0,,,,,,,,,,,,,,,3,2.0,2.0,1.0,3.0,1,0,0,0,0,0,0,0,2,1,2,2,3,2,2.0,2,1.0,1.0,2.0,1.0,2,3,3,3,,,,,,,1,2,1,1,3,3,1,2,1,2.0,0,0,0,0,0,1,2,2,2,2,3.0,2.0,4.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1,1,1,1,3,4,4,4,4,3,0,0,0,0,0,0,1,4,1,1,4,1,1,1.0,17,10.0,1.0,1,1,5,1,4,0,3,6,0,0,1,3,2,20180308,10.95,2,2,,0.3284704
350,1367,,2,2,2,3,0,1,1,0,0,0,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,1,1,4,4,4,1,1,0,1,1,1,1,0,0,0,4.0,1,,,,,,,1.0,,,,,,,,,,1,1.0,1.0,2.0,2.0,1,0,0,0,1,0,1,0,1,1,1,1,3,3,1.0,1,1.0,1.0,2.0,1.0,4,4,2,2,0.0,1.0,0.0,0.0,1.0,0.0,1,3,1,1,1,1,1,2,2,2.0,0,0,0,0,1,0,1,2,1,4,2.0,2.0,2.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0,2,2,2,2,2,3,2,2,3,2,0,0,0,0,0,0,1,2,1,1,4,2,2,1.0,14,10.0,3.0,3,2,11,1,4,1,3,5,0,1,0,2,2,20180312,44.41666667,2,2,,0.676167043
351,1373,,2,4,1,2,1,0,1,1,1,0,3,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1,2,1,2,4,3,4,1,1,1,1,1,1,1,0,0,0,4.0,1,1.0,,,,,,,,,,,,,,,,4,2.0,3.0,3.0,4.0,1,1,0,0,0,0,0,0,2,2,1,2,3,3,2.0,2,1.0,1.0,2.0,1.0,2,3,2,2,1.0,0.0,0.0,0.0,1.0,0.0,1,2,1,1,1,1,3,1,1,1.0,0,0,0,0,0,1,1,2,1,3,1.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1,2,1,1,3,4,3,2,3,2,0,0,1,0,0,0,0,1,1,1,4,1,2,1.0,17,13.0,3.0,1,1,13,1,4,1,3,4,0,0,1,1,2,20180322,9.5,2,2,,0.799469587
352,1374,,1,2,2,2,0,1,0,0,0,0,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,2,1,1,2,2,2,2,1,0,1,0,1,1,0,0,0,4.0,1,,1.0,,,,,,,,,,,,,,,2,1.0,2.0,2.0,1.0,0,1,0,0,0,0,0,0,1,2,3,2,1,3,1.0,2,1.0,1.0,1.0,2.0,2,3,1,1,0.0,0.0,1.0,0.0,0.0,0.0,3,3,2,3,1,1,1,1,1,1.0,0,0,0,1,0,0,2,2,1,2,1.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1,2,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,2,1,1,1,1,1,1.0,14,13.0,3.0,1,1,18,1,4,1,1,6,0,0,2,2,2,20180407,3.683333333,2,2,,1.317031688
354,1379,,1,4,1,2,0,0,1,0,0,0,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,2,2,1,2,2,2,2,1,0,1,0,1,1,0,0,0,4.0,3,,,,,,,,,,,,,,,,,2,3.0,3.0,2.0,3.0,1,0,0,0,0,0,1,0,2,2,2,3,3,3,3.0,3,1.0,1.0,2.0,2.0,4,4,4,2,0.0,0.0,0.0,0.0,0.0,1.0,2,3,2,4,1,1,3,1,1,2.0,1,0,0,0,1,0,2,2,1,3,2.0,1.0,3.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,2.0,1,1,2,1,2,3,2,2,2,2,0,0,0,0,0,0,1,3,2,2,3,2,2,1.0,16,9.0,4.0,2,2,2,0,5,1,4,4,0,0,0,1,3,20180309,29.03333333,2,2,,0.654032956
355,1391,,1,3,2,3,0,0,1,0,0,0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,4,1,4,2,1,0,0,1,0,1,0,0,0,5.0,1,,,,,1.0,,,,,,,,,,,,2,4.0,4.0,3.0,4.0,0,0,0,0,0,0,1,0,2,3,2,2,3,2,3.0,3,2.0,2.0,2.0,1.0,3,3,4,3,,,,,,,2,2,2,2,2,2,2,1,1,1.0,0,0,0,0,0,1,2,2,1,3,3.0,2.0,4.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,2.0,3.0,1,1,1,1,3,98,4,4,4,3,0,0,0,0,1,1,0,1,1,1,4,1,1,2.0,13,6.0,4.0,3,2,2,0,4,1,2,5,0,2,1,1,1,20180319,22.6,2,2,,1.741719452
356,1392,,1,2,1,3,0,0,0,1,0,0,2,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1,1,1,1,4,2,4,1,1,0,1,1,1,1,0,0,0,5.0,2,,,,,,,,,,,1.0,,,,,,2,2.0,3.0,2.0,4.0,1,1,1,0,0,0,0,0,1,2,1,1,3,3,1.0,2,2.0,1.0,2.0,1.0,2,4,3,1,1.0,0.0,0.0,0.0,1.0,0.0,1,3,2,1,1,1,3,1,1,1.0,1,0,0,0,0,0,1,2,1,2,2.0,1.0,4.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1,1,2,2,4,4,4,3,2,4,1,1,1,1,1,1,0,3,1,1,4,1,1,2.0,15,10.0,1.0,2,1,9,1,2,1,1,4,2,0,0,0,2,20180308,8.133333333,2,2,,0.524987
357,1402,,1,1,1,2,0,0,0,1,1,0,2,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1,1,1,1,2,1,2,1,1,1,1,1,1,1,0,0,0,4.0,2,,,,,,,,,,,,,1.0,,,,3,4.0,2.0,3.0,4.0,1,0,1,0,0,1,0,0,3,1,1,3,2,2,1.0,1,2.0,2.0,2.0,2.0,4,3,4,1,1.0,0.0,0.0,1.0,1.0,0.0,1,2,1,1,1,1,2,2,2,1.0,0,1,0,1,0,0,3,1,1,1,2.0,2.0,3.0,1.0,4.0,,,,,,,,,,,,,,,,1,1,1,2,3,4,4,3,3,3,1,0,1,0,1,0,0,1,2,1,4,1,2,2.0,16,10.0,4.0,1,2,6,1,4,1,2,6,0,1,1,2,2,20180308,13.33333333,2,2,,0.413922791
358,1406,,1,1,1,3,0,0,0,0,1,0,2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,1,1,4,3,4,1,1,1,1,0,1,1,0,0,0,4.0,2,,,,,,,,,1.0,,1.0,,,,,,1,2.0,1.0,2.0,4.0,1,1,1,0,0,0,0,0,1,1,1,3,2,1,2.0,2,1.0,1.0,1.0,2.0,2,2,2,3,,,,,,,1,4,1,3,1,1,2,2,2,1.0,0,0,1,0,1,0,4,4,2,4,1.0,2.0,4.0,2.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,1,1,1,1,2,4,3,1,2,2,1,0,1,0,1,1,0,1,1,2,1,1,2,2.0,16,10.0,4.0,1,1,4,1,4,1,2,2,0,0,0,1,1,20180316,31.51666667,2,2,,0.139753254
359,1407,,2,3,1,3,1,1,1,1,1,0,3,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1,2,1,1,4,4,4,2,1,1,1,1,0,1,0,1,0,3.0,3,,,,,,,,,,,,,,,,,3,3.0,1.0,4.0,4.0,1,1,0,0,1,0,1,0,2,3,2,3,2,1,3.0,1,2.0,1.0,1.0,2.0,3,4,2,2,1.0,1.0,0.0,1.0,1.0,0.0,2,3,3,3,1,1,3,2,2,2.0,0,0,1,0,1,0,1,3,1,3,2.0,1.0,2.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,2.0,1,2,2,1,4,4,4,4,4,4,1,0,1,0,0,1,0,4,4,4,4,4,1,1.0,14,11.0,1.0,1,1,9,1,4,0,3,6,0,0,2,1,4,20180316,15.38333333,2,2,,1.575894249
360,1410,,2,1,2,3,0,1,0,0,0,0,2,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1,1,2,2,3,2,2,2,2,1,1,0,1,1,0,0,0,4.0,3,,,,,,,,,,,,,,,,,3,2.0,2.0,3.0,2.0,0,1,1,1,0,0,0,0,1,1,1,1,3,2,2.0,1,1.0,1.0,2.0,1.0,2,2,3,3,,,,,,,1,3,2,1,1,3,,1,1,,1,0,0,1,1,0,1,1,1,3,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1,1,1,1,1,3,3,3,2,2,1,0,0,0,0,1,0,3,1,2,4,1,3,2.0,15,8.0,1.0,3,2,8,1,2,1,4,3,0,0,0,1,2,20180406,16.2,2,2,,5.044273942
361,1416,,2,3,1,3,0,1,0,0,0,0,2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1,1,1,1,4,3,4,1,1,1,1,1,1,1,1,0,0,5.0,2,,,,,,,,,,,,1.0,,,,,4,4.0,3.0,4.0,4.0,0,0,0,0,0,0,0,1,3,2,2,3,2,2,3.0,3,1.0,2.0,1.0,2.0,2,3,1,2,1.0,0.0,0.0,0.0,0.0,0.0,2,2,3,4,3,2,3,2,1,1.0,1,0,0,0,1,0,3,2,1,2,1.0,2.0,3.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,2,1,1,1,3,4,4,4,4,3,1,1,0,0,1,1,0,4,3,4,4,1,4,1.0,15,10.0,4.0,1,2,3,1,2,1,3,5,1,0,1,1,2,20180308,11.31666667,2,2,,0.075044801
363,1422,,1,1,1,3,1,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,2,2,2,4,4,1,1,1,0,1,1,1,1,0,0,0,5.0,1,,,,,,,,,,,,,,,,99.0,4,3.0,3.0,4.0,3.0,0,0,0,0,0,0,0,1,3,1,2,2,2,3,3.0,3,1.0,1.0,2.0,1.0,3,3,4,3,,,,,,,3,2,1,4,2,1,3,1,1,2.0,0,1,0,1,0,0,2,2,3,3,2.0,4.0,3.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0,1,2,2,2,3,2,4,3,4,1,0,0,0,0,0,0,1,3,3,1,3,2,2,1.0,13,1.0,3.0,3,3,7,0,4,1,4,5,1,1,0,1,2,20180315,9.666666667,2,2,,1.947774162
364,1423,,1,1,1,3,0,0,0,0,0,1,2,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1,2,1,1,4,3,4,1,1,1,1,1,1,1,0,0,0,4.0,1,,,,,,1.0,,,,,,,,,,,2,4.0,2.0,2.0,4.0,1,0,1,0,0,0,0,0,1,1,1,1,3,2,3.0,3,1.0,1.0,2.0,1.0,3,3,2,2,1.0,1.0,0.0,0.0,1.0,0.0,2,3,1,1,3,1,3,1,2,2.0,0,1,0,0,0,0,1,1,1,2,3.0,1.0,4.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,1,2,1,1,2,4,2,2,3,3,0,0,0,0,0,0,1,4,1,2,4,1,3,2.0,15,11.0,1.0,1,1,13,1,3,1,2,5,0,0,0,3,2,20180308,15.5,2,2,,0.350305727
365,1424,,1,3,1,3,0,0,1,0,1,0,2,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1,2,1,2,2,1,2,1,2,1,1,0,1,1,0,0,0,5.0,3,,,,,,,,,,,,,,,,,1,1.0,3.0,1.0,2.0,0,1,1,0,0,0,1,0,2,2,1,1,3,2,3.0,3,2.0,1.0,2.0,1.0,2,3,1,1,1.0,1.0,0.0,1.0,0.0,0.0,2,4,2,3,1,1,,2,2,,0,0,0,0,0,1,2,2,1,1,2.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,2.0,2.0,2,2,2,2,2,2,2,2,2,2,0,0,0,1,1,0,0,3,3,2,2,2,3,2.0,16,12.0,1.0,1,1,16,1,2,1,3,5,1,0,1,1,2,20180325,18.4,2,2,,1.249578979
366,1425,,2,2,1,3,0,0,1,1,0,0,2,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1,2,1,1,4,3,4,2,1,0,0,1,1,0,0,0,0,3.0,3,,,,,,,,,,,,,,,,,2,3.0,2.0,2.0,2.0,1,0,1,0,0,0,1,0,2,3,2,3,3,3,3.0,3,1.0,1.0,2.0,1.0,1,1,4,2,0.0,0.0,1.0,0.0,0.0,0.0,1,4,3,1,3,3,3,2,2,1.0,0,0,0,0,0,1,2,3,1,4,4.0,4.0,4.0,3.0,4.0,,,,,,,,,,,,,,,,1,1,1,1,4,4,3,2,3,3,0,0,0,0,0,0,1,2,2,2,3,1,3,2.0,14,12.0,4.0,3,2,6,1,4,1,3,1,0,0,0,0,1,20180328,7.883333333,2,2,,0.399982359
367,1426,,1,2,1,2,0,1,1,0,1,0,2,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1,2,1,1,4,2,4,1,1,1,1,1,1,1,1,0,0,4.0,3,,,,,,,,,,,,,,,,,2,3.0,2.0,2.0,3.0,0,0,1,1,1,0,1,0,2,2,1,2,3,3,2.0,2,2.0,1.0,2.0,2.0,2,2,2,2,1.0,0.0,1.0,1.0,1.0,0.0,1,3,2,2,1,1,3,2,2,2.0,1,0,0,0,0,0,1,2,1,3,2.0,1.0,2.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,3.0,2,2,1,2,3,4,4,2,4,2,1,0,1,0,0,0,0,2,3,4,2,2,2,2.0,17,10.0,1.0,1,1,9,1,2,1,3,5,0,0,0,0,2,20180331,38.98333333,2,2,,1.846145105
368,1427,,1,3,1,3,0,0,0,0,0,1,2,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1,2,1,2,4,3,4,1,1,1,1,1,1,1,0,0,0,4.0,3,,,,,,,,,,,,,,,,,1,1.0,3.0,1.0,1.0,1,1,1,0,0,0,0,0,1,2,1,1,3,3,3.0,3,1.0,1.0,2.0,1.0,4,4,4,2,1.0,0.0,0.0,0.0,1.0,0.0,1,2,1,1,1,1,3,1,1,1.0,1,0,0,0,0,0,1,2,1,2,4.0,2.0,3.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,1,1,2,2,1,2,2,1,1,3,0,0,1,1,0,0,0,2,1,2,4,1,2,2.0,16,7.0,4.0,3,2,2,0,4,1,1,2,0,0,0,1,1,20180322,15.91666667,2,2,,0.579684838
369,1428,,2,3,2,2,0,0,0,1,0,0,2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,2,1,1,4,2,3,1,1,0,1,0,1,1,0,0,0,5.0,2,,,,,,,,,,,,1.0,,,,,3,2.0,3.0,2.0,4.0,1,1,0,0,0,0,0,0,3,2,1,2,3,2,3.0,2,2.0,2.0,1.0,2.0,2,1,2,3,,,,,,,2,4,2,1,3,3,1,2,2,1.0,1,0,0,0,0,0,2,1,1,2,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,2,1,1,2,1,2,3,2,2,2,1,1,1,0,0,0,0,2,2,4,1,1,3,2.0,13,12.0,1.0,1,1,17,1,2,1,1,4,0,0,1,0,3,20180403,11.71666667,2,2,,0.978313731
370,1429,,1,2,2,3,0,0,1,1,1,0,2,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1,2,1,1,4,3,3,4,1,0,0,0,0,1,0,0,0,,2,,,,,,,,,,,,,,1.0,,,4,4.0,3.0,2.0,4.0,1,0,1,0,1,0,0,0,1,1,1,1,3,1,3.0,3,1.0,1.0,2.0,1.0,3,4,4,3,,,,,,,1,1,1,2,3,2,3,2,2,1.0,0,0,0,0,0,1,1,1,2,4,3.0,4.0,4.0,4.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,1,2,1,1,2,2,1,1,2,1,0,0,0,0,0,0,1,2,1,2,4,1,4,1.0,14,10.0,2.0,1,1,2,1,1,1,3,4,0,0,0,1,3,20180408,22.66666667,2,2,,0.394376507
371,1430,,1,1,1,1,0,1,0,0,1,0,2,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1,2,1,1,4,3,3,1,1,0,1,0,1,1,1,0,0,4.0,1,1.0,,,,,,,,,,,,,,,,4,3.0,2.0,1.0,4.0,0,1,1,0,0,0,1,0,1,3,1,2,1,3,3.0,3,1.0,2.0,1.0,1.0,4,4,1,1,1.0,1.0,1.0,1.0,0.0,0.0,1,1,1,1,1,1,3,2,1,1.0,1,0,0,0,0,0,1,2,1,1,2.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1,2,1,2,4,4,4,4,4,4,1,1,1,0,1,1,0,1,1,2,3,1,2,2.0,17,12.0,1.0,1,2,11,1,4,1,2,6,2,0,2,0,2,20180316,14.81666667,2,2,,2.381445558
372,1431,,1,4,1,2,0,1,0,0,1,0,2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,2,1,1,4,4,4,1,1,0,1,1,1,1,0,0,0,5.0,2,,,,,,,,1.0,,,,,,,,,4,4.0,4.0,4.0,4.0,0,0,0,0,0,0,0,1,2,2,1,2,2,3,2.0,2,2.0,2.0,1.0,2.0,2,3,2,3,,,,,,,4,4,3,2,1,3,2,1,1,1.0,0,0,0,1,0,0,2,1,2,2,1.0,1.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,1.0,2,1,1,1,3,4,2,3,2,2,0,0,0,0,0,0,1,4,1,2,3,1,2,2.0,17,13.0,3.0,1,1,14,1,2,1,2,5,0,0,0,1,4,20180405,13.26666667,2,2,,0.382904955
373,1432,,2,3,1,2,0,1,1,0,1,0,2,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1,2,1,1,4,4,4,1,1,0,1,0,1,1,0,0,0,5.0,3,,,,,,,,,,,,,,,,,3,4.0,3.0,3.0,4.0,0,0,0,0,0,0,0,1,2,2,2,2,3,2,3.0,2,1.0,1.0,2.0,1.0,4,4,3,4,,,,,,,2,3,3,2,3,3,1,2,1,2.0,0,0,0,0,0,1,2,2,1,2,1.0,2.0,3.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,2,2,2,2,3,4,3,2,2,3,0,0,0,0,0,0,1,3,2,2,2,2,2,1.0,14,11.0,1.0,1,1,10,1,4,1,2,3,0,0,1,1,1,20180406,22.3,2,2,,0.268568705
374,1433,,2,2,1,3,0,0,1,0,0,0,3,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1,2,1,1,4,3,4,2,1,0,1,1,1,1,0,0,0,3.0,1,1.0,,,,,,,,,,,,,,,,2,2.0,1.0,3.0,2.0,1,1,1,0,1,0,1,0,2,2,1,2,3,2,2.0,3,1.0,1.0,2.0,1.0,3,2,2,2,1.0,0.0,0.0,0.0,1.0,0.0,1,2,2,2,1,1,1,1,1,1.0,0,0,0,0,1,0,1,2,2,3,2.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,2.0,2,2,1,1,3,3,98,2,3,2,0,0,0,0,1,1,0,3,2,3,2,2,1,1.0,17,12.0,1.0,1,1,14,1,4,1,3,2,0,0,0,0,2,20180331,16.58333333,2,2,,1.018897569
375,1434,,1,3,2,2,0,1,1,0,0,0,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,2,1,1,2,3,2,2,1,0,0,1,1,1,0,0,0,3.0,2,,,,,,,,,,,1.0,,,,,,2,2.0,2.0,1.0,3.0,1,0,0,0,0,1,1,0,3,2,2,2,2,1,2.0,1,2.0,2.0,1.0,2.0,2,2,2,2,1.0,0.0,0.0,1.0,0.0,0.0,2,2,2,2,1,1,1,1,1,1.0,1,0,1,0,0,0,2,2,2,2,2.0,1.0,3.0,3.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,3.0,1.0,1,1,1,1,3,4,4,2,3,3,1,1,1,0,1,1,0,2,2,3,2,2,1,2.0,17,10.0,1.0,1,2,7,1,4,0,2,5,0,0,1,0,4,20180309,18.68333333,2,2,,0.356111304
376,1435,,2,2,1,2,0,1,0,0,1,0,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,2,2,1,4,4,3,1,1,0,1,1,1,1,0,0,0,4.0,3,,,,,,,,,,,,,,,,,2,4.0,4.0,4.0,2.0,0,0,0,0,0,0,0,1,3,3,3,3,3,3,3.0,3,2.0,1.0,2.0,1.0,4,3,4,4,,,,,,,4,4,4,4,1,1,1,2,2,2.0,0,0,0,0,0,1,3,4,2,4,3.0,4.0,4.0,3.0,4.0,,,,,,,,,,,,,,,,3,3,3,3,4,3,4,4,4,3,0,0,0,0,0,0,1,4,4,4,4,4,4,2.0,16,10.0,3.0,3,2,2,1,4,1,4,6,0,2,4,1,3,20180309,6.983333333,2,2,,0.752146392
